"Book Title 1";John;Doe;2021;1234561278903;"Description of Book 1";"horror, fantasy"
"Book Title 2";Jane;Smith;2019;2380149567234;"Description of Book 2";"comedy, drama"
"Book Title 3";Alice;Johnson;2020;3784562390145;"Description of Book 3";"roman, adventure"
"Book Title 4";Michael;Brown;2018;4235016457896;"Description of Book 4";"documentary, mystery"
"Book Title 5";Emily;Jones;2022;0156792348567;"Description of Book 5";"novel, horror"
"Book Title 6";David;Garcia;2017;6234756908178;"Description of Book 6";"fantasy, comedy"
"Book Title 7";Jessica;Martinez;2023;7485671908239;"Description of Book 7";"drama, roman"
"Book Title 8";Daniel;Lee;2016;8945036789120;"Description of Book 8";"adventure, documentary"
"Book Title 9";Sarah;Taylor;2024;9012786934501;"Description of Book 9";"mystery, novel"
"Book Title 10";Kevin;Anderson;2015;0123784901562;"Description of Book 10";"horror, fantasy"
"Book Title 1";John;Doe;2021;0278334619025;"Description of Book 1";"horror, fantasy"
"Book Title 2";Jane;Smith;2019;1700945631284;"Description of Book 2";"comedy, drama"
"Book Title 3";Alice;Johnson;2020;2456911732485;"Description of Book 3";"roman, adventure"
"Book Title 4";Michael;Brown;2018;4906781230416;"Description of Book 4";"documentary, mystery"
"Book Title 5";Emily;Jones;2022;1906702485367;"Description of Book 5";"novel, horror"
"Book Title 6";David;Garcia;2017;1078923467801;"Description of Book 6";"fantasy, comedy"
"Book Title 7";Jessica;Martinez;2023;0402898735129;"Description of Book 7";"drama, roman"
"Book Title 8";Daniel;Lee;2016;2090617234590;"Description of Book 8";"adventure, documentary"
"Book Title 9";Sarah;Taylor;2024;4016357800121;"Description of Book 9";"mystery, novel"
"Book Title 10";Kevin;Anderson;2015;4928231017692;"Description of Book 10";"horror, fantasy"
"Book Title 1";John;Doe;2021;1415273456890;"Description of Book 1";"horror, fantasy"
"Book Title 2";Jane;Smith;2019;1284895012367;"Description of Book 2";"comedy, drama"
"Book Title 3";Alice;Johnson;2020;2827154590346;"Description of Book 3";"roman, adventure"
"Book Title 4";Michael;Brown;2018;1237894501456;"Description of Book 4";"documentary, mystery"
"Book Title 5";Emily;Jones;2022;5650125678593;"Description of Book 5";"novel, horror"
"Book Title 6";David;Garcia;2017;0767175678894;"Description of Book 6";"fantasy, comedy"
"Book Title 7";Jessica;Martinez;2023;1472309485678;"Description of Book 7";"drama, roman"
"Book Title 8";Daniel;Lee;2016;4813564978290;"Description of Book 8";"adventure, documentary"
"Book Title 9";Sarah;Taylor;2024;9110014856701;"Description of Book 9";"mystery, novel"
"Book Title 10";Kevin;Anderson;2015;5501012347842;"Description of Book 10";"horror, fantasy"
"Book Title 1";John;Doe;2021;4533906843107;"Description of Book 1";"horror, fantasy"
"Book Title 2";Jane;Smith;2019;9512173453468;"Description of Book 2";"comedy, drama"
"Book Title 3";Alice;Johnson;2020;8932213556704;"Description of Book 3";"roman, adventure"
